brand,band_min,band_max,cupNum_min,cupNum_max,keywords,styles
1st & Curve,34,46,4,11,keywords,styles
2wenty8,26,30,4,8,keywords,styles
6ixty8ight,32,38,1,4,keywords,styles
A Pea In The Pod,34,38,2,5,keywords,styles
Abecita,30,46,1,7,keywords,styles
Addiction Lingerie,30,42,1,7,keywords,styles
Addition Elle,36,46,2,8,keywords,styles
Adidas,30,40,4,4,keywords,styles
Adina Reay,28,38,5,7,keywords,styles
Admirál,32,42,1,7,keywords,styles
Adore,30,38,3,7,keywords,styles
Adore Me,30,46,1,9,keywords,styles
Adored Collection Lingerie,30,42,5,8,keywords,styles
Aerie,30,42,0,8,keywords,styles
Affinitas Intimates,30,38,1,6,keywords,styles
After Eden,30,44,1,7,keywords,styles
Agent Provocateur,30,38,1,5,keywords,styles
Agio,30,38,1,5,keywords,styles
Agio Milano,30,40,1,9,keywords,styles
Aimerfeel,30,34,1,8,keywords,styles
Alegro,30,46,3,10,keywords,styles
Alide,34,40,2,6,keywords,styles
All For Me,28,44,-1,10,keywords,styles
All Undone,28,34,5,8,keywords,styles
Alles,28,44,1,14,keywords,styles
Amazon Essentials,32,36,2,5,keywords,styles
Ambrielle,32,42,1,6,keywords,styles
American Grace,26,40,0,6,keywords,styles
Amme B,30,38,1,6,keywords,styles
Amo's Style By Triumph,30,34,1,7,keywords,styles
Amoena,32,52,0,7,keywords,styles
Amoena Mia,32,48,1,8,keywords,styles
Amoralia,32,40,2,8,keywords,styles
Ampere,28,36,1,6,keywords,styles
Anabel Arto,32,48,2,7,keywords,styles
Angel First Lingerie,28,38,0,5,keywords,styles
Angelina,24,40,-1,3,keywords,styles
Anita,30,52,0,10,keywords,styles
Anita Active,30,46,0,9,keywords,styles
Ann Summers,30,44,1,8,keywords,styles
Anna Pardal For Comexim,26,50,1,13,keywords,styles
Annalise,30,42,3,7,keywords,styles
Annette,32,42,2,5,keywords,styles
Anthropologie,32,36,1,5,keywords,styles
Antigel Lingerie,32,36,6,6,keywords,styles
Apt. 9,32,40,2,6,keywords,styles
Ardyss,26,50,1,11,keywords,styles
Ariette,28,38,1,3,keywords,styles
Ashley Stewart,38,46,4,6,keywords,styles
Asos Boudoir,30,38,1,6,keywords,styles
Asos Bridal,30,36,1,4,keywords,styles
Asos Collection,28,38,1,6,keywords,styles
Asos Curve,38,44,4,9,keywords,styles
Asos Design,28,38,1,9,keywords,styles
Asos Fuller Bust,28,44,3,9,keywords,styles
Asos Fuller Bust Bridal,30,36,5,6,keywords,styles
Asos Fuller Bust Exclusive,30,36,4,7,keywords,styles
Asos Swim,30,38,1,7,keywords,styles
Athleta,32,38,2,4,keywords,styles
Atlantis,30,38,0,5,keywords,styles
Aubade,30,40,1,7,keywords,styles
Auden,30,50,0,8,keywords,styles
Autograph,30,40,3,8,keywords,styles
Ava,28,46,1,12,keywords,styles
Ava & Viv,38,42,4,6,keywords,styles
Avenue Body,38,48,3,6,keywords,styles
Aviana,32,56,4,16,keywords,styles
Avocado,28,44,3,12,keywords,styles
Axami,30,42,1,10,keywords,styles
Azazie,34,36,3,3,keywords,styles
B By Ted Baker,32,38,1,7,keywords,styles
B.tempt'd By Wacoal,30,40,1,7,keywords,styles
Bali,32,50,1,7,keywords,styles
Ballet,30,40,1,8,keywords,styles
Barbra Lingerie,30,46,1,6,keywords,styles
Barely Breezies,32,40,1,5,keywords,styles
Barely There,30,40,1,5,keywords,styles
Beach Life,36,44,1,6,keywords,styles
Beaujais,28,38,3,9,keywords,styles
Beautiful,34,38,3,5,keywords,styles
Beautifull,32,38,2,6,keywords,styles
Beauty By Bali,36,42,3,6,keywords,styles
Beauty By Jeunique,40,46,8,10,keywords,styles
